DEPTH,ET,EVID,HH:mm:SS.ss,LAT,LON,M,MAG,NGRM,NPH,Q,YYYY/MM/DD
5.4,le,9081823.0,06:54:33.76,32.662,-115.969,c,1.69,0.0,14.0,A,1999/03/27
10.7,le,9103963.0,07:09:51.08,35.124,-118.174,c,1.22,0.0,17.0,B,1999/09/05
12.0,le,9082033.0,09:35:18.44,33.886,-118.895,c,1.9,0.0,17.0,B,1999/03/29
12.4,le,9591024.0,23:24:44.45,33.056,-115.574,l,2.35,0.0,31.0,A,1999/10/18
2.3,le,9128936.0,10:41:11.23,34.863,-116.319,h,2.0,0.0,10.0,A,1999/12/14
12.4,le,9125022.0,19:46:00.33,34.117,-117.036,c,1.32,0.0,14.0,B,1999/11/24
1.5,le,9113965.0,03:01:46.26,34.428000000000004,-116.239,h,2.1,0.0,11.0,A,1999/10/21
5.5,le,9083433.0,03:57:10.44,33.067,-116.043,l,2.04,0.0,33.0,C,1999/04/14
9.0,le,9105761.0,02:53:57.63,35.893,-117.912,c,1.18,0.0,24.0,A,1999/09/21
2.3,le,9075020.0,15:10:10.61,36.025,-117.799,c,1.02,0.0,8.0,B,1999/01/03
5.8,le,9076738.0,00:20:04.39,34.319,-116.844,l,2.23,0.0,38.0,A,1999/01/25
11.0,le,9131836.0,08:00:56.35,34.459,-116.229,h,1.7,0.0,11.0,B,1999/12/31
0.0,qb,7142870.0,22:27:01.31,33.675,-117.015,l,2.62,0.0,29.0,C,1999/08/20
1.2,le,3324172.0,20:14:57.83,34.334,-116.664,l,2.44,0.0,14.0,A,1999/10/17
4.1,le,9116753.0,16:06:48.45,34.367,-116.17,h,1.3,0.0,8.0,A,1999/10/26
5.8,le,9113016.0,19:03:41.55,34.82,-116.354,l,3.16,0.0,32.0,A,1999/10/19
6.0,le,9091132.0,09:32:35.58,33.233000000000004,-116.096,c,1.88,0.0,19.0,C,1999/06/08
3.6,le,7156515.0,14:01:00.45,34.568000000000005,-116.226,l,2.49,0.0,20.0,B,1999/10/27
3.6,le,9130368.0,03:01:14.86,34.708,-116.369,l,1.94,0.0,18.0,A,1999/12/23
