"","X","YYYY.MM.DD","HH.mm.SS.ss","ET","MAG","M","LAT","LON","DEPTH","Q","EVID","NPH","NGRM"
"73",72,"1938/04/12","16:24:33.21","le",4.81,"l",32.56,-115.047,6,"D",3364581,9,0
"77",76,"1938/04/13","19:29:44.57","le",4.84,"l",32.48,-115.272,6,"C",3364585,9,0
"94",93,"1938/04/28","06:07:26.45","le",4.68,"l",32.6,-118.2,6,"D",3364603,12,0
"114",113,"1938/05/31","08:34:55.42","le",5.23,"l",33.699,-117.511,10.2,"C",3364626,11,0
"128",127,"1938/06/06","02:42:41.93","le",4.92,"l",32.273,-115.191,6,"C",3364641,11,0
"209",208,"1938/08/18","07:39:44.47","le",4.54,"l",34.818,-116.047,6,"D",3364732,17,0
"225",224,"1938/09/17","14:23:05.36","le",4.75,"l",35.622,-117.659,6,"C",3364749,23,0
"242",241,"1938/09/27","12:23:46.40","re",4.9,"l",36.357,-121.212,6,"D",3364767,15,0
"303",13,"1939/01/07","20:21:49.32","le",4.75,"l",35.952,-117.584,6,"C",3364850,18,0
"349",59,"1939/02/23","09:18:46.75","le",4.63,"l",34.902,-119.012,6,"C",3364903,18,0
"411",121,"1939/05/01","23:53:09.38","le",4.99,"l",32.026,-117.684,6,"D",3364975,14,0
"412",122,"1939/05/01","23:57:56.09","le",4.52,"l",32.225,-116.508,6,"D",3364976,13,0
"450",160,"1939/06/24","16:27:29.38","le",5.25,"l",32.062,-117.516,6,"D",3365037,14,0
"562",272,"1939/12/27","19:28:48.59","le",4.51,"l",33.744,-118.328,6,"C",3365178,13,0
"565",275,"1939/12/28","12:15:32.15","re",5.17,"l",35.953,-120.973,6,"D",3365181,11,0
"613",42,"1940/02/28","17:28:06.82","le",4.55,"l",33.15,-115.983,6,"C",3365234,12,0
"645",74,"1940/05/18","05:03:59.66","le",5.31,"l",34.089,-116.282,6,"C",3365269,10,0
"646",75,"1940/05/18","05:51:21.94","le",5.2,"l",34.037,-116.306,6,"C",3365270,7,0
"647",76,"1940/05/18","06:04:31.79","le",4.52,"l",34.042,-116.262,6,"C",3365271,7,0
"648",77,"1940/05/18","07:21:34.47","le",4.96,"l",34.026,-116.314,6,"C",3365272,7,0
"655",84,"1940/05/19","04:36:40.50","le",6.9,"w",32.844,-115.381,6,"D",3365279,10,0
"656",85,"1940/05/19","04:48:49.30","le",4.71,"l",32.833,-115.5,6,"C",3365280,2,0
"657",86,"1940/05/19","04:54:56.18","le",5.15,"l",32.833,-115.5,6,"C",3365281,4,0
"659",88,"1940/05/19","05:44:37.23","le",4.91,"l",32.833,-115.5,6,"C",3365283,5,0
"661",90,"1940/05/19","05:51:38.13","le",5.41,"l",32.855,-115.5,6,"C",3365285,4,0
"662",91,"1940/05/19","05:57:19.36","le",4.71,"l",32.833,-115.5,6,"C",3365286,4,0
"663",92,"1940/05/19","06:17:45.85","le",4.71,"l",32.833,-115.5,6,"C",3365287,2,0
"664",93,"1940/05/19","06:33:21.40","le",5.18,"l",32.833,-115.5,6,"C",3365288,6,0
"665",94,"1940/05/19","06:35:33.45","le",5.18,"l",32.833,-115.5,6,"C",3365289,2,0
"697",126,"1940/06/01","05:27:01.92","le",4.56,"l",34.105,-116.272,6,"C",3365321,10,0
"704",133,"1940/06/01","23:59:28.00","le",4.68,"l",32.5,-115,6,"D",3365328,7,0
"706",135,"1940/06/04","10:35:08.12","le",5.03,"l",32.966,-116.315,6,"D",3365330,8,0
"828",257,"1940/10/11","05:57:13.51","le",4.7,"l",33.778,-118.472,6,"C",3365468,12,0
"978",102,"1941/07/01","07:50:56.96","le",5.47,"l",34.329,-119.564,9.6,"D",3365643,8,0
"1003",127,"1941/07/01","23:53:42.37","le",4.54,"l",34.254,-119.664,9.7,"D",3365668,10,0
"1018",142,"1941/07/12","16:18:53.04","le",4.68,"l",34.173,-119.591,6,"C",3365685,12,0
"1074",198,"1941/09/21","19:53:08.83","le",5.1,"l",34.838,-118.933,6,"C",3365754,11,0
"1093",217,"1941/10/22","06:57:18.96","le",4.69,"l",33.811,-118.301,0.2,"C",3365787,8,0
"1099",223,"1941/11/14","08:41:37.65","le",5.12,"l",33.791,-118.264,6,"C",3365807,10,0
"1123",247,"1941/12/24","07:30:08.65","le",4.59,"l",32.37,-115.962,6,"C",3365838,8,0
"1154",30,"1942/02/01","15:18:28.79","le",4.6,"l",34.419,-116.813,6,"C",3365890,13,0
"1175",51,"1942/03/03","01:03:25.85","le",4.82,"l",34.001,-115.847,6,"C",3365922,12,0
"1230",106,"1942/05/23","15:47:33.78","le",4.87,"l",32.995,-116.25,6,"C",3365989,13,0
"1273",149,"1942/08/07","01:15:34.48","le",4.62,"l",34.248,-116.37,6,"C",3366044,15,0
"1291",167,"1942/09/04","06:34:32.97","le",4.53,"l",34.664,-118.983,20,"C",3366068,12,0
"1316",192,"1942/10/21","16:22:11.98","le",6.6,"w",32.975,-115.785,6,"C",3366099,17,0
"1317",193,"1942/10/21","16:25:16.23","le",4.61,"l",32.953,-115.675,6,"C",3366100,5,0
"1324",200,"1942/10/22","01:50:37.08","le",5.63,"l",33.266,-115.572,6,"C",3366107,17,0
"1330",206,"1942/10/22","18:13:27.66","le",4.68,"l",32.935,-116.001,6,"C",3366113,10,0
"1458",58,"1943/03/17","00:40:41.12","le",4.6,"l",32.428,-115.27,6,"D",3366263,17,0
"1561",161,"1943/08/29","03:45:14.31","le",5.28,"l",34.268,-116.968,6,"C",3366373,13,0
"1638",238,"1943/12/22","15:50:28.60","le",5.11,"l",34.37,-115.819,6,"C",3366459,19,0
"1715",72,"1944/06/12","10:45:34.68","le",5.06,"l",33.989,-116.731,6,"C",3366543,20,0
"1718",75,"1944/06/12","11:16:35.81","le",5.24,"l",34.002,-116.699,6,"C",3366546,18,0
"1757",114,"1944/07/03","05:38:24.00","le",4.57,"l",35.368,-117.847,6,"C",3366587,20,0
"1862",219,"1944/12/23","08:16:21.37","le",4.55,"l",36.553,-117.44,6,"C",3360996,18,0
"1912",47,"1945/03/20","21:55:08.22","le",4.87,"l",34.238,-116.141,6,"C",3360727,22,0
"1919",54,"1945/04/01","23:43:45.43","le",4.94,"l",34.127,-119.823,0.1,"C",3360909,20,0
"1983",118,"1945/08/15","17:56:18.39","le",5.77,"l",33.082,-115.631,6,"C",3360494,13,0
"2043",2,"1946/01/08","18:54:19.63","le",5.33,"l",33.111,-116.001,6,"D",3360124,14,0
"2077",36,"1946/03/15","13:21:01.91","le",5.43,"l",35.723,-117.941,6,"C",3360172,12,0
"2078",37,"1946/03/15","13:49:37.09","le",6.3,"h",35.702,-117.944,6,"C",3360174,10,0
"2079",38,"1946/03/15","14:00:36.68","le",5.19,"l",35.691,-117.75,6,"C",3360176,11,0
"2082",41,"1946/03/15","19:18:54.84","le",5.43,"l",35.678,-117.82,6,"C",3360181,13,0
"2083",42,"1946/03/15","21:54:35.12","le",5.04,"l",35.697,-118.052,6,"D",3360183,11,0
"2094",53,"1946/03/16","09:46:18.75","le",4.83,"l",35.703,-118.102,0.5,"C",3360191,15,0
"2127",86,"1946/03/18","10:05:55.96","le",4.58,"l",35.75,-117.709,6,"D",3360215,12,0
"2130",89,"1946/03/18","15:49:26.71","le",4.6,"l",35.76,-117.889,6,"C",3360219,11,0
"2131",90,"1946/03/18","15:50:42.81","le",5.24,"l",35.779,-117.778,6,"D",3360225,10,0
"2266",225,"1946/06/04","12:05:26.66","le",4.7,"l",33.986,-115.704,6,"C",3359625,16,0
"2281",240,"1946/06/15","19:46:50.85","le",4.75,"l",32.207,-116.259,31.8,"D",3359639,15,0
"2324",283,"1946/07/18","14:27:57.99","le",5.51,"l",34.502,-115.915,6,"C",3359696,18,0
"2389",348,"1946/09/28","07:19:10.42","le",4.87,"l",33.935,-116.867,12.8,"B",3359589,13,0
"2487",35,"1947/02/06","17:20:41.56","le",4.55,"l",35.66,-117.854,6,"C",3358855,21,0
"2555",103,"1947/04/10","15:58:05.11","le",6.5,"w",34.983,-116.531,6,"C",3358945,12,0
"2556",104,"1947/04/10","16:03:00.33","le",5,"l",35.017,-116.719,6,"C",3358946,11,0
"2572",120,"1947/04/10","17:18:21.06","le",4.8,"l",34.972,-116.429,6,"C",3358953,22,0
"2607",155,"1947/04/11","07:47:08.79","le",4.99,"l",34.959,-116.526,6,"C",3358974,33,0
"2653",201,"1947/04/19","02:29:09.05","le",4.51,"l",34.958,-116.562,6,"C",3358384,27,0
"2719",267,"1947/05/11","05:06:20.94","le",4.66,"l",34.306,-116.192,6,"C",3358488,22,0
"2818",366,"1947/07/24","22:10:46.82","le",5.3,"l",33.994,-116.481,6,"C",3358693,17,0
"2821",369,"1947/07/24","22:54:28.12","le",4.69,"l",33.91,-116.517,6,"C",3358700,13,0
"2826",374,"1947/07/25","00:46:30.67","le",4.82,"l",34.064,-116.415,6,"C",3358709,18,0
"2839",387,"1947/07/25","06:19:49.50","le",5.24,"l",34.03,-116.406,6,"C",3358256,18,0
"2850",398,"1947/07/26","02:49:42.46","le",4.95,"l",33.987,-116.504,6,"C",3358272,21,0
"3011",559,"1947/11/18","21:59:05.81","le",4.96,"l",33.172,-119.457,6,"C",3358068,33,0
"3111",53,"1948/02/24","08:15:10.48","le",5.2,"l",32.498,-118.585,6,"C",3357743,23,0
"3119",61,"1948/02/27","06:21:35.67","le",4.65,"l",32.434,-118.586,6,"C",3357728,36,0
"3123",65,"1948/03/01","08:12:13.52","le",4.6,"l",34.266,-117.474,2.5,"A",3357723,29,0
"3178",120,"1948/04/16","22:26:25.30","le",4.55,"l",33.9,-118.985,6,"C",3357617,29,0
"3377",319,"1948/12/04","23:43:16.41","le",6,"w",33.983,-116.331,6,"C",9860350,11,0
"3381",323,"1948/12/05","00:07:20.60","le",4.73,"l",33.922,-116.365,6,"C",3356624,21,0
"3662",114,"1949/05/02","11:25:46.90","le",5.69,"l",34,-115.696,6,"C",3356151,26,0
"3874",326,"1949/08/27","14:51:44.12","le",4.73,"l",34.179,-120.778,6,"C",3355694,30,0
"3937",389,"1949/11/04","20:42:38.77","le",5.66,"l",32.127,-116.75,6,"C",3355574,26,0
"4234",200,"1950/07/27","11:29:24.59","le",4.76,"l",33.022,-115.513,6,"C",3344212,21,0
"4242",208,"1950/07/28","03:25:28.21","le",4.59,"l",33.087,-115.487,6,"D",3344228,16,0
"4253",219,"1950/07/28","17:26:46.65","le",4.56,"l",33.26,-115.505,6,"D",3344238,16,0
"4255",221,"1950/07/28","17:50:46.29","le",5.33,"l",33.089,-115.448,6,"D",3344239,14,0
"4256",222,"1950/07/28","17:58:08.67","le",4.7,"l",32.902,-115.54,6,"C",3344240,12,0
"4268",234,"1950/07/29","14:36:31.93","le",5.42,"l",33.088,-115.664,6,"D",3344251,17,0
"4285",251,"1950/08/01","08:37:21.30","le",4.7,"l",33.215,-115.724,6,"D",3342844,18,0
"4338",304,"1950/09/05","19:19:56.77","le",4.76,"l",33.726,-116.697,6.4,"B",3344132,24,0
"4550",8,"1951/01/24","07:16:52.62","le",5.95,"l",32.622,-115.119,6,"C",3322622,21,0
"4573",31,"1951/02/15","10:48:00.22","le",4.71,"l",33.482,-116.601,3.4,"C",3322675,20,0
"4574",32,"1951/02/15","10:49:57.23","le",4.58,"l",33.452,-116.489,6,"C",3322677,10,0
"4710",168,"1951/09/02","16:27:45.44","le",4.69,"l",32.02,-117.275,6,"D",3322379,20,0
"4784",242,"1951/12/26","00:46:54.43","le",5.75,"l",32.916,-118.305,6,"C",3322187,22,0
