,X,YYYY.MM.DD,HH.mm.SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
3,2,1/4/38,29:22.7,le,4.41,l,33.383,-116.382,6,D,3364507,6,0
31,30,2/8/38,39:25.1,le,4.05,l,34.16,-116.114,6,C,3364538,18,0
36,35,2/15/38,45:38.1,le,4.27,l,34.216,-116.165,6,C,3364543,17,0
55,54,3/31/38,03:42.2,le,4.07,l,34.638,-116.194,6,C,3364564,15,0
73,72,4/12/38,24:33.2,le,4.81,l,32.56,-115.047,6,D,3364581,9,0
77,76,4/13/38,29:44.6,le,4.84,l,32.48,-115.272,6,C,3364585,9,0
83,82,4/17/38,47:18.4,le,4.05,l,32.469,-115.26,6,D,10084386,10,0
94,93,4/28/38,07:26.5,le,4.68,l,32.6,-118.2,6,D,3364603,12,0
114,113,5/31/38,34:55.4,le,5.23,l,33.699,-117.511,10.2,C,3364626,11,0
125,124,6/3/38,38:33.1,le,4.19,l,32.245,-115.165,6,C,3364635,10,0
128,127,6/6/38,42:41.9,le,4.92,l,32.273,-115.191,6,C,3364641,11,0
131,130,6/6/38,35:11.7,le,4.38,l,32.264,-115.106,6,C,3364644,11,0
157,156,6/29/38,40:00.5,le,4.21,l,33.4,-115.6,6,D,3364670,9,0
168,167,7/5/38,06:55.7,le,4.27,l,33.691,-117.545,6,C,3364686,12,0
172,171,7/10/38,06:19.0,le,4.24,l,33.15,-116.283,6,C,3364690,11,0
209,208,8/18/38,39:44.5,le,4.54,l,34.818,-116.047,6,D,3364732,17,0
215,214,8/31/38,18:14.1,le,4.35,l,33.767,-118.277,6,C,3364738,11,0
225,224,9/17/38,23:05.4,le,4.75,l,35.622,-117.659,6,C,3364749,23,0
242,241,9/27/38,23:46.4,re,4.9,l,36.357,-121.212,6,D,3364767,15,0
248,247,10/2/38,45:15.1,le,4.07,l,34.192,-119.727,11.4,C,3364775,15,0
268,267,11/22/38,30:45.7,re,4.29,l,35.758,-120.497,6,C,3364801,13,0
303,13,1/7/39,21:49.3,le,4.75,l,35.952,-117.584,6,C,3364850,18,0
347,57,2/23/39,45:50.1,le,4.41,l,35.033,-118.988,6,C,3364901,18,0
349,59,2/23/39,18:46.8,le,4.63,l,34.902,-119.012,6,C,3364903,18,0
374,84,3/21/39,50:55.9,le,4.11,l,32.794,-115.256,6,C,3364929,12,0
411,121,5/1/39,53:09.4,le,4.99,l,32.026,-117.684,6,D,3364975,14,0
412,122,5/1/39,57:56.1,le,4.52,l,32.225,-116.508,6,D,3364976,13,0
414,124,5/2/39,49:25.7,re,4.18,l,35.896,-120.745,6,C,3364980,16,0
417,127,5/3/39,28:22.6,le,4.2,l,32.17,-116.556,6,D,3364983,14,0
